Key,Description,en,it
AGM-145 Ballista x2_fullName,Full equip name of: AGM-145 Ballista x2,AGM-145 Ballista x2,
AGM-145 Ballista x2_description,Item description of: AGM-145 Ballista x2,"Small anti-tank missiles with advanced optics, ""fire and forget"", and smart self-targeting technology. Can be fired without line of sight to the designated target point, and will acquire hostile targets automatically.",
eqSublabel_LASER-BOMB-INTERNAL,HUD sub-label of an equip,LASER BOMB INTERNAL,
Mk-82 Bomb x1_fullName,Full equip name of: Mk-82 Bomb x1,Mk-82 Bomb x1,
Mk-82 Bomb x1_description,Item description of: Mk-82 Bomb x1,Standard un-guided 500lb bomb.,
AIM-120 Advanced Radar Missile x2_fullName,Full equip name of: AIM-120 Advanced Radar Missile x2,AIM-120 Advanced Radar Missile x2,
AIM-120 Advanced Radar Missile x2_description,Item description of: AIM-120 Advanced Radar Missile x2,A rack of two radar guided medium range air to air missiles.,
tutName_Vertical Flight,Name of a legacy tutorial objective,Vertical Flight,
tutDesc_Vertical Flight,Description of a legacy tutorial,Complete the Vertical Flight tutorial.,
tut:Vertical Flight:Intro10,A tutorial label,Welcome to the Vertical Flight autopilot training.,
tut:Vertical Flight:Intro21,A tutorial label,"Vertical flight can be tricky, but by using the AP, you will be a master in no time.",
tut:Vertical Flight:CheckTilt2,A tutorial label,"First, make sure the engines are tilted at 90 degrees.",
tut:Vertical Flight:CheckTilt3,A tutorial label,"First, make sure the engines are tilted at 90 degrees.",
tut:Vertical Flight:EnableHVR4,A tutorial label,Enable HVR mode.,
tut:Vertical Flight:EnableALT5,A tutorial label,Enable ALT mode.,
tut:Vertical Flight:HVRInfo6,A tutorial label,The HVR mode will assist you in staying upright and keeping your horizontal velocity under control.,
tut:Vertical Flight:ALTInfo7,A tutorial label,The ALT mode will take control of the engines and convert inputs into climb or descent rates.,
tut:Vertical Flight:ALTInfo28,A tutorial label,Keeping your throttle centered will hold a hover,
tut:Vertical Flight:ALTInfo39,A tutorial label,Raise or lower the throttle to climb or descend,
tut:Vertical Flight:AltThrottleInfo10,A tutorial label,Altitude Control Status,
tut:Vertical Flight:DontTilt11,A tutorial label,Keep your left thumb away from the tilt control.,
tut:Vertical Flight:DontTilt212,A tutorial label,Any engine tilt less than 90 will disengage HVR AP,
tut:Vertical Flight:TakeOffNow13,A tutorial label,Lift throttle now.  Climb to {50} altitude.,
tut:Vertical Flight:HoldAltitude14,A tutorial label,Now set your throttle lever to the midpoint to hover.,
tut:Vertical Flight:HoverInfo15,A tutorial label,You should now be in a stable hover,
tut:Vertical Flight:HoverInfo216,A tutorial label,You can make adjustments to the throttle to climb or descend as needed.,
tut:Vertical Flight:LatMovementInfo17,A tutorial label,Now you can use the joystick to move around,
tut:Vertical Flight:LatMovementInfo218,A tutorial label,The HVR autopilot will handle attitude control,
tut:Vertical Flight:LatMovementInfo319,A tutorial label,You just have to tilt the joystick in the direction you want to go,
tut:Vertical Flight:LatMovementInfo420,A tutorial label,You can also twist the joystick to yaw,
tut:Vertical Flight:LatMovementHUD21,A tutorial label,Horizontal Velocity Indicator,
tut:Vertical Flight:StudyMovement22,A tutorial label,"As you move around, study how the AP handles the vehicle",
tut:Vertical Flight:StartTargets23,A tutorial label,Let's try flying into some targets.,
tut:Vertical Flight:HoverWaypoint024,A tutorial label,Hover here!,
tut:Vertical Flight:HoverWaypoint125,A tutorial label,Hover here!,
tut:Vertical Flight:HoverWaypoint226,A tutorial label,Hover here!,
tut:Vertical Flight:HoverWaypoint327,A tutorial label,Hover here!,
tut:Vertical Flight:GoodJob28,A tutorial label,Great! Now lets try to land back on the helipad.,
tut:Vertical Flight:StopBeforeLand29,A tutorial label,"Bring yourself to a stop by centering the throttle, and steering the stick in the opposite direction as your horizontal velocity indicator.",
tut:Vertical Flight:FaceLanding30,A tutorial label,Rotate to face towards the helipads.,
tut:Vertical Flight:HeadTowardPad31,A tutorial label,Begin to move towards the pad.  Adjust your altitude control and steer so your velocity vector is pointed just above the pad.,
tut:Vertical Flight:AlmostLand32,A tutorial label,Slow your forward speed and rate of descent.,
tut:Vertical Flight:Land33,A tutorial label,Adjust rate of descent to bring it down gently.,
tut:Vertical Flight:Touchdown34,A tutorial label,Touch down!  Throttle down and enable brake locks.,
tut:Vertical Flight:Brake Locks35,A tutorial label,Enable brake lock.,
tut:Vertical Flight:Congrats36,A tutorial label,Congratulations!  Next time: Manual vertical flight and transitioning.,
AV-42C_description,Short description of playable vehicle AV-42C,"""Kestrel"" Multi-role VTOL aircraft. Tilting jet nozzles give it the ability to take off and land vertically or horizontally. Large cargo bay and multiple weapon mounts allow for both transport and attack missions.",
F/A-26B_description,Short description of playable vehicle F/A-26B,"""Wasp"" Carrier based air-superiority fighter that can also be configured for ground attack roles.",
F-45A_description,Short description of playable vehicle F-45A,"""Ghost"" Stealthy, single-engine, VTOL/STOVL capable aircraft with four internal bays. Optional external hardpoints can be used to increase carrying capacity when stealth is not needed.",
campaign_av42cTheIsland_name,Name of a campaign.,The Island,
campaign_av42cTheIsland_description,Description of a campaign.,The Island campaign.,
av42cTheIsland:01_preparations_name,Name of a mission.,Preparations,
av42cTheIsland:01_preparations_description,Description of a mission.,Help make preparations to defend the island. Transport personnel to coastal SAM site.,
AV-42C:av42cTheIsland:01_preparations:obj_0:name,A mission objective name,Pick Up,
AV-42C:av42cTheIsland:01_preparations:obj_0:info,Mission objective info.,Let the soldiers into your passenger bay.,
AV-42C:av42cTheIsland:01_preparations:obj_1:name,A mission objective name,Drop Off,
AV-42C:av42cTheIsland:01_preparations:obj_1:info,Mission objective info.,Drop the soldiers off at the east bay SAM site.,
AV-42C:av42cTheIsland:01_preparations:obj_2:name,A mission objective name,Join Fighters,
AV-42C:av42cTheIsland:01_preparations:obj_2:info,Mission objective info.,Join up with the fighter escort wing.,
AV-42C:av42cTheIsland:01_preparations:obj_4:name,A mission objective name,Investigate,
AV-42C:av42cTheIsland:01_preparations:obj_4:info,Mission objective info.,Investigate the AV-42 crash site.,
AV-42C:av42cTheIsland:01_preparations:obj_5:name,A mission objective name,Pick-up Survivors,
AV-42C:av42cTheIsland:01_preparations:obj_5:info,Mission objective info.,Pick up the survivors from the crash site.,
AV-42C:av42cTheIsland:01_preparations:obj_6:name,A mission objective name,Deliver Survivors,
AV-42C:av42cTheIsland:01_preparations:obj_6:info,Mission objective info.,Deliver the survivors to the hospital.,
AV-42C:av42cTheIsland:01_preparations:obj_7:name,A mission objective name,RTB,
AV-42C:av42cTheIsland:01_preparations:obj_7:info,Mission objective info.,Return to and land at the airbase.,
AV-42C:av42cTheIsland:01_preparations:obj_8:name,A mission objective name,Destroy Drones,
AV-42C:av42cTheIsland:01_preparations:obj_8:info,Mission objective info.,Allow the fighters to clear out the hostile drones.,
av42cTheIsland:02_minesweeper_name,Name of a mission.,Minesweeper,
av42cTheIsland:02_minesweeper_description,Description of a mission.,Destroy the drone ships laying mines on supply routes.,
AV-42C:av42cTheIsland:02_minesweeper:obj_0:name,A mission objective name,Join fighters,
AV-42C:av42cTheIsland:02_minesweeper:obj_0:info,Mission objective info.,Meet up with Victor1 at the waypoint.,
AV-42C:av42cTheIsland:02_minesweeper:obj_1:name,A mission objective name,Fly to AO,
AV-42C:av42cTheIsland:02_minesweeper:obj_1:info,Mission objective info.,Lead the strike group to the area of operations.,
AV-42C:av42cTheIsland:02_minesweeper:obj_2:name,A mission objective name,Strike,
AV-42C:av42cTheIsland:02_minesweeper:obj_2:info,Mission objective info.,[Critical] Destroy the mine boats.,
AV-42C:av42cTheIsland:02_minesweeper:obj_3:name,A mission objective name,Support,
AV-42C:av42cTheIsland:02_minesweeper:obj_3:info,Mission objective info.,"If able, support your wingmen by destroying the carrier's weapons and drones.",
AV-42C:av42cTheIsland:02_minesweeper:obj_4:name,A mission objective name,RTB,
AV-42C:av42cTheIsland:02_minesweeper:obj_4:info,Mission objective info.,Return to the airbase.,
av42cTheIsland:03_redirection_name,Name of a mission.,Redirection,
av42cTheIsland:03_redirection_description,Description of a mission.,Join the carrier fleet embarking on a pre-emptive naval strike.,
AV-42C:av42cTheIsland:03_redirection:obj_0:name,A mission objective name,Search,
AV-42C:av42cTheIsland:03_redirection:obj_0:info,Mission objective info.,Search for the lost pilot near the objective waypoint.,
AV-42C:av42cTheIsland:03_redirection:obj_1:name,A mission objective name,Join Tanker,
AV-42C:av42cTheIsland:03_redirection:obj_1:info,Mission objective info.,Lead the lost pilot to the refuel tanker.,
AV-42C:av42cTheIsland:03_redirection:obj_2:name,A mission objective name,Refuel,
AV-42C:av42cTheIsland:03_redirection:obj_2:info,Mission objective info.,Allow the pilot to refuel.,
AV-42C:av42cTheIsland:03_redirection:obj_3:name,A mission objective name,Join Carrier,
AV-42C:av42cTheIsland:03_redirection:obj_3:info,Mission objective info.,Lead the pilot to the aircraft carrier.,
AV-42C:av42cTheIsland:03_redirection:obj_4:name,A mission objective name,Land,
AV-42C:av42cTheIsland:03_redirection:obj_4:info,Mission objective info.,Land on the aircraft carrier.,
av42cTheIsland:04_openWater_name,Name of a mission.,Open Water,
av42cTheIsland:04_openWater_description,Description of a mission.,Meet the enemy in open water for a pre-emptive strike.,
AV-42C:av42cTheIsland:04_openWater:obj_0:name,A mission objective name,Join Strikers,
AV-42C:av42cTheIsland:04_openWater:obj_0:info,Mission objective info.,Join the striker group X-Ray1,
AV-42C:av42cTheIsland:04_openWater:obj_1:name,A mission objective name,Defend,
AV-42C:av42cTheIsland:04_openWater:obj_1:info,Mission objective info.,Help defend the fleet from the incoming drones.,
AV-42C:av42cTheIsland:04_openWater:obj_2:name,A mission objective name,Regroup,
AV-42C:av42cTheIsland:04_openWater:obj_2:info,Mission objective info.,Join up with the fighters.,
AV-42C:av42cTheIsland:04_openWater:obj_3:name,A mission objective name,Fly to AO,
AV-42C:av42cTheIsland:04_openWater:obj_3:info,Mission objective info.,Vector to the enemy fleet.,
AV-42C:av42cTheIsland:04_openWater:obj_4:name,A mission objective name,Destroy Targets,
AV-42C:av42cTheIsland:04_openWater:obj_4:info,Mission objective info.,"Destroy or disable all enemy weapon systems, sensors, and drones.",
AV-42C:av42cTheIsland:04_openWater:obj_5:name,A mission objective name,RTB,
AV-42C:av42cTheIsland:04_openWater:obj_5:info,Mission objective info.,Return to the fleet and land.,
av42cTheIsland:05_silentIsland_name,Name of a mission.,Silent Island,
av42cTheIsland:05_silentIsland_description,Description of a mission.,Return to the island to investigate why communications have gone silent.,
AV-42C:av42cTheIsland:05_silentIsland:obj_0:name,A mission objective name,Join Tanker,
AV-42C:av42cTheIsland:05_silentIsland:obj_0:info,Mission objective info.,Take off and fly to the aerial fuel tanker.,
AV-42C:av42cTheIsland:05_silentIsland:obj_1:name,A mission objective name,Refuel 1,
AV-42C:av42cTheIsland:05_silentIsland:obj_1:info,Mission objective info.,Allow your Romeo1-1 to refuel.,
AV-42C:av42cTheIsland:05_silentIsland:obj_2:name,A mission objective name,Refuel 2,
AV-42C:av42cTheIsland:05_silentIsland:obj_2:info,Mission objective info.,Allow Romeo1-2 to refuel. Then you may refuel yourself if necessary.,
AV-42C:av42cTheIsland:05_silentIsland:obj_3:name,A mission objective name,Investigate,
AV-42C:av42cTheIsland:05_silentIsland:obj_3:info,Mission objective info.,Investigate the island.,
AV-42C:av42cTheIsland:05_silentIsland:obj_4:name,A mission objective name,Retreat,
AV-42C:av42cTheIsland:05_silentIsland:obj_4:info,Mission objective info.,Avoid the enemy fleet. Return to the waypoint and await orders.,
AV-42C:av42cTheIsland:05_silentIsland:obj_5:name,A mission objective name,CAS,
AV-42C:av42cTheIsland:05_silentIsland:obj_5:info,Mission objective info.,Destroy the armored units moving toward our allied infantry.,
AV-42C:av42cTheIsland:05_silentIsland:obj_6:name,A mission objective name,Exfil,
AV-42C:av42cTheIsland:05_silentIsland:obj_6:info,Mission objective info.,Pick up Bravo squad.,
AV-42C:av42cTheIsland:05_silentIsland:obj_7:name,A mission objective name,RTB,
AV-42C:av42cTheIsland:05_silentIsland:obj_7:info,Mission objective info.,Return to the aircraft carrier.,
av42cTheIsland:06_darkness_name,Name of a mission.,Darkness,
av42cTheIsland:06_darkness_description,Description of a mission.,Begin a counterattack under the cover of darkness.,
AV-42C:av42cTheIsland:06_darkness:obj_0:name,A mission objective name,Begin,
AV-42C:av42cTheIsland:06_darkness:obj_0:info,Mission objective info.,Take off and prepare for your anti-ship strike.,
AV-42C:av42cTheIsland:06_darkness:obj_1:name,A mission objective name,ASM Strike,
AV-42C:av42cTheIsland:06_darkness:obj_1:info,Mission objective info.,Destroy the long range missile cruiser.,
AV-42C:av42cTheIsland:06_darkness:obj_2:name,A mission objective name,RTB,
AV-42C:av42cTheIsland:06_darkness:obj_2:info,Mission objective info.,Return to the aircraft carrier.,
av42cTheIsland:07_islandDefense_name,Name of a mission.,Island Defense,
av42cTheIsland:07_islandDefense_description,Description of a mission.,Begin to take back the island and eliminate the enemy fleet off the northern coast.,
AV-42C:av42cTheIsland:07_islandDefense:obj_6:name,A mission objective name,AntiShip 2,
AV-42C:av42cTheIsland:07_islandDefense:obj_6:info,Mission objective info.,Destroy the incoming enemy carrier fleet.,
AV-42C:av42cTheIsland:07_islandDefense:obj_4:name,A mission objective name,AntiShip,
AV-42C:av42cTheIsland:07_islandDefense:obj_4:info,Mission objective info.,Destroy the remaining enemy fleet.,
AV-42C:av42cTheIsland:07_islandDefense:obj_3:name,A mission objective name,Airbase,
AV-42C:av42cTheIsland:07_islandDefense:obj_3:info,Mission objective info.,Clear out the enemy units at the airbase.,
AV-42C:av42cTheIsland:07_islandDefense:obj_7:name,A mission objective name,SEAD,
AV-42C:av42cTheIsland:07_islandDefense:obj_7:info,Mission objective info.,Destroy the enemy SAM site to allow reinforcements to take off.,
AV-42C:av42cTheIsland:07_islandDefense:obj_8:name,A mission objective name,Launch,
AV-42C:av42cTheIsland:07_islandDefense:obj_8:info,Mission objective info.,,
AV-42C:av42cTheIsland:07_islandDefense:obj_9:name,A mission objective name,Regroup,
AV-42C:av42cTheIsland:07_islandDefense:obj_9:info,Mission objective info.,"Rearm if necessary, then regroup with Victor 1.",
AV-42C:av42cTheIsland:07_islandDefense:obj_10:name,A mission objective name,RTB,
AV-42C:av42cTheIsland:07_islandDefense:obj_10:info,Mission objective info.,Land at the airbase.,
AV-42C:av42cTheIsland:07_islandDefense:obj_11:name,A mission objective name,Drone Boats,
AV-42C:av42cTheIsland:07_islandDefense:obj_11:info,Mission objective info.,Destroy the rocket-equipped drone boats threatening the carrier.,
AV-42C:av42cTheIsland:07_islandDefense:obj_12:name,A mission objective name,Destroy Ship Defense,
AV-42C:av42cTheIsland:07_islandDefense:obj_12:info,Mission objective info.,Destroy the carrier group's radars and air defenses so bombers can come to help.,
av42cTheIsland_01_preparations_b0,Text from a mission briefing.,"Negotiations for peace have failed.  We believe the enemy will strike here first, as a stepping stone to the mainland.

We have begun preparing coastal air defenses.",
av42cTheIsland_01_preparations_b1,Text from a mission briefing.,"As an AV-42C pilot, you will deliver personnel to the defense sites.

Other pilots and soldiers will be arriving by air from the mainland soon.",
av42cTheIsland_02_minesweeper_b0,Text from a mission briefing.,"As we continue to prepare our defenses against the invasive enemy forces, we need to secure supply routes from the mainland to the island.",
av42cTheIsland_02_minesweeper_b1,Text from a mission briefing.,The troops you recovered from the crash site reported that they spotted what seemed to be unmanned vessels deploying sea mines near the south east supply route.,
av42cTheIsland_02_minesweeper_b2,Text from a mission briefing.,"You will lead a strike group with the order of destroying all hostile targets in the designated area.  

Prepare your aircraft appropriately.",
av42cTheIsland_03_redirection_b0,Text from a mission briefing.,Our engineers were able to salvage the navigation computers from the drone ships and used them to determine the location of the main naval fleet of the enemy.,
av42cTheIsland_03_redirection_b1,Text from a mission briefing.,"We have tasked an aircraft carrier fleet to intercept before they get too close to the island.  In order to maximize their force, you and other pilots are ordered to join the fleet.",
av42cTheIsland_03_redirection_b2,Text from a mission briefing.,"A pilot belonging to the carrier was out on combat air patrol when his navigation systems experienced a failure.  The pilot is lost and low on fuel, so you must quickly find him and lead him to the fuel tanker on the way to the carrier.",
av42cTheIsland_04_openWater_b0,Text from a mission briefing.,"We have intercepted the enemy fleet sooner than we expected to. They have already deployed aerial drones which are heading towards our fleet. All units are to scramble to defend the fleet, as well as quickly launch a counter-attack.",
av42cTheIsland_04_openWater_b1,Text from a mission briefing.,"The enemy force is numerous and includes small drone boats, missile cruisers, and drone carriers. This is going to get messy.

Good luck.",
av42cTheIsland_05_silentIsland_b0,Text from a mission briefing.,"We received an encrypted message from the island airbase which suggested that a large presence was detected coming in from the north.

After that, all communications went silent.",
av42cTheIsland_05_silentIsland_b1,Text from a mission briefing.,"The captain is worried that the enemy fleet we just attacked was just a diversion, and a larger enemy fleet somehow sailed to the island undetected.

We are returning to the island to investigate the radio silence.",
av42cTheIsland_05_silentIsland_b2,Text from a mission briefing.,"We are conserving on-board jet fuel in anticipation of responding to the potential threat, so the fighter escorts will need to refuel in the air.

Once everyone is topped off, scout the island and report back.  Good luck.",
av42cTheIsland_06_darkness_b0,Text from a mission briefing.,"On the scouting sortie, a large enemy fleet was detected north of the island.  The enemy has also begun landing ground units on the island.

Before we can begin to move in and take back the island, we need to eliminate the threat posed by the enemy long range missile cruiser.",
av42cTheIsland_06_darkness_b1,Text from a mission briefing.,"The cruiser has an array of launch tubes which we believe are capable of deploying two-stage surface-to-air and anti-ship missiles.  It also has a vertical launching system defense cannons, so it may not be effective to use conventional bombs or air-to-ground missiles.",
av42cTheIsland_06_darkness_b2,Text from a mission briefing.,"In order to take out the threat, we are authorizing the use of the AGM-89 anti-ship cruise missile.  It has advanced features such as waypoint navigation, radar target acquisition, and a large payload.  Use it wisely and destroy the high priority target.",
av42cTheIsland_06_darkness_b3,Text from a mission briefing.,"The mission launches at midnight. You will be escorted by a small wing of fighters to defend you from airborne threats.

The enemy has likely deployed more self-propelled SAM units to the island, so keep an eye out for missile launches and radar locks.

Good luck.",
av42cTheIsland_07_islandDefense_b0,Text from a mission briefing.,"With the destruction of the enemy fleet's most powerful ship, we can begin an effort to take back the island.

Through the night, the enemy has continued to deploy troops and set up defenses around the island.",
av42cTheIsland_07_islandDefense_b1,Text from a mission briefing.,"The first order is to clear out enemy units from the island airbase. Air defenses have been set up, so be prepared to use the surrounding hills for cover.

Once the airbase has been cleared, we can use it for refueling and rearming.",
av42cTheIsland_07_islandDefense_b2,Text from a mission briefing.,"Once that is out of the way, we must eliminate the rest of the enemy fleet parked off the norther coast.

An allied carrier fleet is arriving from the east to support us, but are unable to launch aircraft due to enemy air defenses in the eastern city.",
av42cTheIsland_07_islandDefense_b3,Text from a mission briefing.,"Destroy the eastern air defenses to allow the allied pilots to take off, then make a combined effort to destroy the enemy fleet.

The allied fleet will also move into firing range to support with anti-ship missiles.",
campaign_av42cQuickFlight_name,Name of a campaign.,Quick Flight,
campaign_av42cQuickFlight_description,Description of a campaign.,Quick flights and practice scenarios for the AV-42C.,
av42cQuickFlight:42c_freeFlight2_name,Name of a mission.,Free Flight 2,
av42cQuickFlight:42c_freeFlight2_description,Description of a mission.,Free flight on a custom map.,
av42cQuickFlight:aerialRefuelPractice_name,Name of a mission.,Aerial Refueling Practice,
av42cQuickFlight:aerialRefuelPractice_description,Description of a mission.,Practice refueling in the air. Remember to lower your starting fuel.,
AV-42C:av42cQuickFlight:aerialRefuelPractice:obj_0:name,A mission objective name,Refuel,
AV-42C:av42cQuickFlight:aerialRefuelPractice:obj_0:info,Mission objective info.,Refuel in the air.,
av42cQuickFlight:carrierLanding_name,Name of a mission.,Naval Landing Practice,
av42cQuickFlight:carrierLanding_description,Description of a mission.,Practice landing on the carrier or one of the cruisers.,
AV-42C:av42cQuickFlight:carrierLanding:obj_0:name,A mission objective name,Land,
AV-42C:av42cQuickFlight:carrierLanding:obj_0:info,Mission objective info.,Land on the carrier or one of the cruisers.,
av42cQuickFlight:freeFlight_name,Name of a mission.,Free Flight,
av42cQuickFlight:freeFlight_description,Description of a mission.,No objectives or hostiles.  Just fly around and have fun!,
AV-42C:av42cQuickFlight:freeFlight:obj_0:name,A mission objective name,Free Flight,
AV-42C:av42cQuickFlight:freeFlight:obj_0:info,Mission objective info.,"This is a free flight, however, landing on the carrier will complete the mission",
av42cQuickFlight:targetPractice_name,Name of a mission.,Target Practice,
av42cQuickFlight:targetPractice_description,Description of a mission.,Practice using different weapons on multiple groups of non-hostile targets.,
AV-42C:av42cQuickFlight:targetPractice:obj_0:name,A mission objective name,Destroy Artillery,
AV-42C:av42cQuickFlight:targetPractice:obj_0:info,Mission objective info.,Destroy the artillery on the edge of the south-eastern city.,
AV-42C:av42cQuickFlight:targetPractice:obj_1:name,A mission objective name,Destroy Infantry,
AV-42C:av42cQuickFlight:targetPractice:obj_1:info,Mission objective info.,Eliminate the enemy infantry squad patrolling near the hospital,
AV-42C:av42cQuickFlight:targetPractice:obj_2:name,A mission objective name,Destroy Convoy,
AV-42C:av42cQuickFlight:targetPractice:obj_2:info,Mission objective info.,Destroy the armored convoy moving west from the eastern city.,
AV-42C:av42cQuickFlight:targetPractice:obj_3:name,A mission objective name,Destroy Air Defense,
AV-42C:av42cQuickFlight:targetPractice:obj_3:info,Mission objective info.,Destroy the air defense network on the mountain peak.,
AV-42C:av42cQuickFlight:targetPractice:obj_4:name,A mission objective name,Kill Enemy Strikers,
AV-42C:av42cQuickFlight:targetPractice:obj_4:info,Mission objective info.,Destroy the wing of enemy attack aircraft.,
AV-42C:av42cQuickFlight:targetPractice:obj_5:name,A mission objective name,RTB,
AV-42C:av42cQuickFlight:targetPractice:obj_5:info,Mission objective info.,Land at the airbase.,
av42cQuickFlight_42c_freeFlight2_b0,Text from a mission briefing.,Just fly around and have fun!,
av42cQuickFlight_42c_freeFlight2_b1,Text from a mission briefing.,A tanker is available for A2A refuelling.,
av42cQuickFlight_42c_freeFlight2_b2,Text from a mission briefing.,Try landing on one of the ships!,
av42cQuickFlight_aerialRefuelPractice_b0,Text from a mission briefing.,"Practice refueling in the air. Remember to lower your starting fuel, or else the tanker won't bother lowering the boom.",
av42cQuickFlight_carrierLanding_b0,Text from a mission briefing.,"Practice landing on the ships.  For the carrier, you can land vertically or with the arrestor cables.

The carrier will be moving from east to west.  Use the NAV screen on the MFD to aid you in your approach.",
av42cQuickFlight_freeFlight_b0,Text from a mission briefing.,"There are no objectives. Just fly around and have fun!

There is an aircraft carrier at sea and an aerial refueling tanker in the sky.",
av42cQuickFlight_targetPractice_b0,Text from a mission briefing.,"There are multiple groups of surface and air targets for you to practice on.

Check the waypoints and information in the Objectives MFD page.",
campaign_fa26bFreeFlight_name,Name of a campaign.,Quick Flight,
campaign_fa26bFreeFlight_description,Description of a campaign.,Simple scenarios for the F/A-26B.,
fa26bFreeFlight:26b_targetPractice2_name,Name of a mission.,Target Practice,
fa26bFreeFlight:26b_targetPractice2_description,Description of a mission.,Several ground and air targets to practice deploying your weapons on. Targets will not shoot back.,
F/A-26B:fa26bFreeFlight:26b_targetPractice2:obj_0:name,A mission objective name,Moving Targets,
F/A-26B:fa26bFreeFlight:26b_targetPractice2:obj_0:info,Mission objective info.,Destroy the column of vehicles crossing the bridge.,
F/A-26B:fa26bFreeFlight:26b_targetPractice2:obj_1:name,A mission objective name,Artillery Targets,
F/A-26B:fa26bFreeFlight:26b_targetPractice2:obj_1:info,Mission objective info.,Destroy the artillery targets.,
F/A-26B:fa26bFreeFlight:26b_targetPractice2:obj_2:name,A mission objective name,Bomber Group,
F/A-26B:fa26bFreeFlight:26b_targetPractice2:obj_2:info,Mission objective info.,Destroy the bomber and its escorts flying at high altitude.,
F/A-26B:fa26bFreeFlight:26b_targetPractice2:obj_3:name,A mission objective name,Radar Network,
F/A-26B:fa26bFreeFlight:26b_targetPractice2:obj_3:info,Mission objective info.,Destroy the radar network around the central mountains.,
F/A-26B:fa26bFreeFlight:26b_targetPractice2:obj_4:name,A mission objective name,Attack Jets,
F/A-26B:fa26bFreeFlight:26b_targetPractice2:obj_4:info,Mission objective info.,Destroy the vertical take-off attack jets coming from the FARP.,
F/A-26B:fa26bFreeFlight:26b_targetPractice2:obj_5:name,A mission objective name,RTB,
F/A-26B:fa26bFreeFlight:26b_targetPractice2:obj_5:info,Mission objective info.,Land at any of the airbases or aircraft carrier.,
fa26bFreeFlight:2v2dogfight_name,Name of a mission.,2v2 Air Combat,
fa26bFreeFlight:2v2dogfight_description,Description of a mission.,Take on two enemy fighters with your wingman.,
F/A-26B:fa26bFreeFlight:2v2dogfight:obj_0:name,A mission objective name,CAP,
F/A-26B:fa26bFreeFlight:2v2dogfight:obj_0:info,Mission objective info.,Destroy the two enemy fighters.,
F/A-26B:fa26bFreeFlight:2v2dogfight:obj_1:name,A mission objective name,Surprise,
F/A-26B:fa26bFreeFlight:2v2dogfight:obj_1:info,Mission objective info.,Surprise! More fighters to kill. Where will they come from?,
F/A-26B:fa26bFreeFlight:2v2dogfight:obj_2:name,A mission objective name,Land,
F/A-26B:fa26bFreeFlight:2v2dogfight:obj_2:info,Mission objective info.,Land at the airbase.,
fa26bFreeFlight:carrierLandingPractice_name,Name of a mission.,Carrier Landing Practice,
fa26bFreeFlight:carrierLandingPractice_description,Description of a mission.,Practice landing on the aircraft carrier.,
F/A-26B:fa26bFreeFlight:carrierLandingPractice:obj_0:name,A mission objective name,Land,
F/A-26B:fa26bFreeFlight:carrierLandingPractice:obj_0:info,Mission objective info.,Land on the carrier.,
fa26bFreeFlight:FA26Difficult_name,Name of a mission.,Difficult Mission,
fa26bFreeFlight:FA26Difficult_description,Description of a mission.,"A variety of hostile targets to destroy.  Practice using the aircraft as a fighter, a striker, or a mix of both.",
F/A-26B:fa26bFreeFlight:FA26Difficult:obj_0:name,A mission objective name,Destroy Radars 1,
F/A-26B:fa26bFreeFlight:FA26Difficult:obj_0:info,Mission objective info.,Destroy the enemy fire control radars around south city.,
F/A-26B:fa26bFreeFlight:FA26Difficult:obj_1:name,A mission objective name,Destroy Ships,
F/A-26B:fa26bFreeFlight:FA26Difficult:obj_1:info,Mission objective info.,Destroy the naval group to the east.,
F/A-26B:fa26bFreeFlight:FA26Difficult:obj_2:name,A mission objective name,CAP,
F/A-26B:fa26bFreeFlight:FA26Difficult:obj_2:info,Mission objective info.,Search for and destroy enemy fighters.,
F/A-26B:fa26bFreeFlight:FA26Difficult:obj_3:name,A mission objective name,RTB,
F/A-26B:fa26bFreeFlight:FA26Difficult:obj_3:info,Mission objective info.,Return to the carrier.,
fa26bFreeFlight:fa26Refuel_name,Name of a mission.,FA-26 Aerial Refuel Practice,
fa26bFreeFlight:fa26Refuel_description,Description of a mission.,Practice aerial refuelling.,
F/A-26B:fa26bFreeFlight:fa26Refuel:obj_0:name,A mission objective name,Refuel,
F/A-26B:fa26bFreeFlight:fa26Refuel:obj_0:info,Mission objective info.,Refuel without landing. Fuel must be below 95% for the tanker to serve.,
fa26bFreeFlight:Free Flight_name,Name of a mission.,Free Flight,
fa26bFreeFlight:Free Flight_description,Description of a mission.,No enemies or objectives.  Just fly around and have fun!,
fa26bFreeFlight:freeFlight2_name,Name of a mission.,Free Flight 2,
fa26bFreeFlight:freeFlight2_description,Description of a mission.,Free flight in the twin-city bay map. No enemies or objectives.,
fa26bFreeFlight_26b_targetPractice2_b0,Text from a mission briefing.,"Various air and land targets are scattered around the area. Practice using your sensors and weapons to find and destroy the targets without worrying about them shooting back.

Several airbases and a carrier are available for you to use for rearming and refuelling if necessary.",
fa26bFreeFlight_2v2dogfight_b0,Text from a mission briefing.,"In this scenario, you will start in the air with a wingman.  Fly towards the island and take out the two enemy fighters.",
fa26bFreeFlight_carrierLandingPractice_b0,Text from a mission briefing.,"You will start in the air near the carrier.  Find it, then circle around for a landing approach.",
